fighter1,fighter2,fight_outcome,fighter1_Weight,fighter1_Reach,fighter1_SLpM,fighter1_StrAcc,fighter1_SApM,fighter1_StrDef,fighter1_TDAvg,fighter1_TDAcc,fighter1_TDDef,fighter1_SubAvg,fighter2_Weight,fighter2_Reach,fighter2_SLpM,fighter2_StrAcc,fighter2_SApM,fighter2_StrDef,fighter2_TDAvg,fighter2_TDAcc,fighter2_TDDef,fighter2_SubAvg,fighter1_Wins,fighter1_Losses,fighter1_Draws,fighter2_Wins,fighter2_Losses,fighter2_Draws,fighter1_Height_in,fighter2_Height_in,fighter1_Age,fighter2_Age,fighter1_Stance_Open stance,fighter1_Stance_Orthodox,fighter1_Stance_Southpaw,fighter1_Stance_Switch,fighter2_Stance_Open stance,fighter2_Stance_Orthodox,fighter2_Stance_Southpaw,fighter2_Stance_Switch,diff_TDAcc,diff_StrAcc,diff_SubAvg,diff_StrDef,diff_Age,diff_SApM,diff_SLpM,diff_Reach,diff_TDAvg,diff_Height_in,diff_Draws,diff_TDDef,diff_Weight,diff_Wins,diff_Losses
Robert Whittaker,Mike Rhodes,1,185.0,73,4.54,43,3.41,59,0.8,38,81,0.0,170.0,74,3.2,39,4.13,64,0.96,33,75,0.5,27,8,0,10,5,0,72.0,73.0,34.0,35.0,False,True,False,False,False,True,False,False,5,4,-0.5,-5,-1.0,-0.7199999999999998,1.3399999999999999,-1,-0.15999999999999992,-1.0,0,6,15.0,17,3
Hatsu Hioki,Charles Oliveira,0,145.0,73,2.42,42,2.12,65,2.55,56,54,0.6,155.0,74,3.4,55,3.21,49,2.25,40,56,2.7,29,10,2,35,10,0,71.0,70.0,41.0,35.0,False,True,False,False,False,True,False,False,16,-13,-2.1,16,6.0,-1.0899999999999999,-0.98,-1,0.2999999999999998,1.0,2,-2,-10.0,-6,0
James Te Huna,Nate Marquardt,0,185.0,75,4.04,51,2.99,62,2.75,37,58,0.2,185.0,74,2.71,49,2.32,55,1.87,51,70,0.8,16,9,0,35,19,2,74.0,72.0,43.0,45.0,False,True,False,False,False,True,False,False,-14,2,-0.6000000000000001,7,-2.0,0.6700000000000004,1.33,1,0.8799999999999999,2.0,-2,-12,0.0,-19,-10
Soa Palelei,Jared Rosholt,0,265.0,81,2.47,57,2.68,48,2.2,47,66,0.0,265.0,75,2.08,46,1.52,59,1.83,41,66,0.1,22,5,0,14,4,0,76.0,74.0,47.0,38.0,False,True,False,False,False,True,False,False,6,11,-0.1,-11,9.0,1.1600000000000001,0.3900000000000001,6,0.3700000000000001,2.0,0,0,0.0,8,1
Joe Ellenberger,James Moontasri,1,155.0,72,1.62,47,3.45,48,3.17,40,0,1.1,170.0,71,2.39,48,3.86,40,0.0,0,79,0.2,15,2,0,9,5,0,69.0,70.0,39.0,36.0,False,True,False,False,False,False,False,True,40,-1,0.9000000000000001,8,3.0,-0.4099999999999997,-0.77,1,3.17,-1.0,0,-79,-15.0,6,-3
Ricardo Lamas,Hacran Dias,1,145.0,71,3.13,47,2.87,57,1.84,33,46,0.9,155.0,69,2.08,41,3.31,55,2.5,39,76,0.5,20,8,0,23,6,1,68.0,68.0,42.0,40.0,False,True,False,False,False,True,False,False,-6,6,0.4,2,2.0,-0.43999999999999995,1.0499999999999998,2,-0.6599999999999999,0.0,-1,-30,-10.0,-3,2
Clint Hester,Antonio Braga Neto,1,205.0,77,3.36,42,3.44,56,1.02,35,60,0.0,185.0,77,1.36,33,3.92,45,3.07,37,0,0.5,11,6,0,9,3,0,74.0,75.0,38.0,37.0,False,True,False,False,False,True,False,False,-2,9,-0.5,11,1.0,-0.48,1.9999999999999998,0,-2.05,-1.0,0,60,20.0,2,3
Colton Smith,Diego Ferreira,0,155.0,71,1.64,41,2.3,51,4.09,36,25,1.4,155.0,74,4.82,40,3.46,55,0.86,30,57,0.6,7,4,0,19,6,0,72.0,69.0,37.0,40.0,False,True,False,False,False,True,False,False,6,1,0.7999999999999999,-4,-3.0,-1.1600000000000001,-3.1800000000000006,-3,3.23,3.0,0,-32,0.0,-12,-2
Kelvin Gastelum,Nicholas Musoke,1,185.0,71,3.74,42,3.48,57,1.1,34,59,0.1,170.0,75,3.56,35,3.8,57,1.16,19,82,0.2,19,9,0,13,5,0,69.0,72.0,33.0,38.0,False,False,True,False,False,True,False,False,15,7,-0.1,0,-5.0,-0.31999999999999984,0.18000000000000016,-4,-0.05999999999999983,-3.0,0,-23,15.0,6,4
Cezar Ferreira,Andrew Craig,1,185.0,78,1.9,42,2.44,53,2.69,53,84,0.5,170.0,76,2.39,40,3.01,50,0.53,37,72,0.0,13,8,0,9,4,0,73.0,73.0,40.0,39.0,False,False,True,False,False,True,False,False,16,2,0.5,3,1.0,-0.5699999999999998,-0.4900000000000002,2,2.16,0.0,0,12,15.0,4,4
